Product Code,Line Item,Category,Sub Category,Conversion Factor,Supplier,Cost Type,Purchase Type,Made in,Product Group,Model,Brand,Product Name,Size,Color,Cost Price,Wholesale Price,Retail Price,Profit(%),Difference,Barcode Customer SKU Code 1
FL00000,Car Care,DashBoard Polish Spray,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO DASHBOARD POLISH 450ML,Default,Default,270,297,338,9.09,27,6959375198888
FL00001,Car Care,DashBoard Polish Spray,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO F024E PERFUME DASHBOARD POLISH 220ML,Default,Default,190,209,238,9.09,19,
FL00002,Car Care,Hard Wax,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO F087 PREMIUM HARD WAX 200g,Default,Default,683.75,731.5,855,6.53,47.75,6959375198758
FL00003,Car Care,Polishing Wax,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO F041 CAR POLISHING WAX 230G,Default,Default,430,473,538,9.09,43,
FL00004,Car Care,Body Wax,Spray Body Wax,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO SPRAY BODY WAX,Default,Default,300,330,375,9.09,30,
FL00005,Car Care,Hard Wax,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO F042 DIAMOND HARD WAX 230g,Default,Default,560,616,700,9.09,56,
FL00006,Car Care,Rubbing Compound,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO F043 RUBBING COMPOUND 230g,Default,Default,500,550,625,9.09,50,
FL00007,Car Care,Foam Cleaner,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO FOAM CLEANER MULTIPURPOSE F002 - 650ml,Default,Default,310,335.5,388,7.6,25.5,6959375199984
FL00008,Car Care,,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO TIRE FOAM CLEANER BLACK LOOK F003- 650ml,Default,Default,350,374,438,6.42,24,6959375199342
FL00009,Car Care,Injector Cleaner,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO INJECTOR CLEANER 220ML,Default,Default,165,181.5,206,9.09,16.5,
FL00010,Car Care,Injector Cleaner,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO INJECTOR CLEANER 300ML,Default,Default,205,225.5,256,9.09,20.5,
